retriever,task,n,max_score,gap_ctx,gap_25
e5,theoremqa_questions,194,0.5198195294875926,0.47470190138575574,0.5261574820066602
e5,theoremqa_theorems,76,0.5084745762711864,0.42073778664007977,0.4137587238285144
bge,aops,111,0.729984301412873,0.5164835164835164,0.5133437990580848
bge,biology,103,0.625098347757671,0.6699449252557043,0.6424075531077891
bge,earth_science,116,0.6421252371916509,0.5996204933586338,0.6178368121442125
bge,economics,103,0.5025575447570332,0.5255754475703325,0.525149190110827
bge,leetcode,142,0.4590490415733134,0.5240229026636793,0.5307443365695793
bge,pony,112,0.4649064171122995,0.3669786096256684,0.3790106951871658
bge,psychology,101,0.6380281690140845,0.5967136150234741,0.6812206572769953
bge,robotics,101,0.6198439241917504,0.6053511705685618,0.6204013377926421
bge,stackoverflow,117,0.45089285714285715,0.45238095238095244,0.38888888888888884
bge,sustainable_living,108,0.5868818681318682,0.5154532967032968,0.5655906593406593
bge,theoremqa_questions,194,0.4970150873765331,0.5863453815261044,0.5604037772712471
bge,theoremqa_theorems,76,0.44134536505332234,0.3388022969647252,0.35028712059064804
sf,aops,111,0.63,0.5309090909090909,0.5481818181818181
sf,biology,103,0.5733162830349531,0.5494458653026428,0.5988917306052856
sf,earth_science,116,0.65679012345679,0.5354497354497354,0.5714285714285714
sf,economics,103,0.47802197802197804,0.41108891108891105,0.4195804195804196
sf,leetcode,142,0.4735621521335807,0.487012987012987,0.5039424860853432
sf,pony,112,0.5309328968903437,0.5018003273322422,0.486088379705401
sf,psychology,101,0.5680680680680681,0.5735735735735736,0.6286286286286287
sf,robotics,101,0.6357882623705409,0.5822784810126582,0.5638665132336018
sf,stackoverflow,117,0.5224466891133558,0.5819304152637487,0.4685746352413019
sf,sustainable_living,108,0.6415441176470589,0.580514705882353,0.6216911764705882
sf,theoremqa_questions,194,0.5113964686998395,0.512573568753344,0.5421080791867309
sf,theoremqa_theorems,76,0.543369890329013,0.5493519441674976,0.5254237288135594
inst-l,aops,111,0.5356435643564357,0.32673267326732675,0.4267326732673268
inst-l,biology,103,0.5997596153846154,0.5821314102564104,0.6125801282051282
inst-l,earth_science,116,0.5079861111111111,0.49374999999999997,0.45625
inst-l,economics,103,0.5761904761904761,0.5442857142857143,0.49047619047619045
inst-l,leetcode,142,0.4824921516541898,0.504467519922724,0.49480801738710456
inst-l,pony,112,0.5242184816214359,0.43696324287186533,0.47681209206458264
inst-l,psychology,101,0.6901340996168582,0.6202107279693487,0.657088122605364
inst-l,robotics,101,0.604225352112676,0.4788732394366197,0.5009389671361504
inst-l,stackoverflow,117,0.4777777777777778,0.469281045751634,0.34967320261437906
inst-l,sustainable_living,108,0.5825042881646656,0.6483704974271012,0.6576329331046312
inst-l,theoremqa_questions,194,0.534516550522648,0.5055531358885017,0.5237369337979094
inst-l,theoremqa_theorems,76,0.6094182825484765,0.5789473684210527,0.6241920590951062
inst-xl,aops,111,0.5590277777777778,0.575,0.6416666666666667
inst-xl,biology,103,0.5516806722689076,0.6340336134453782,0.6222689075630252
inst-xl,earth_science,116,0.6674107142857143,0.6145833333333333,0.5997023809523808
inst-xl,economics,103,0.4967381174277726,0.51071761416589,0.47949673811742777
inst-xl,leetcode,142,0.45755879059350507,0.561926091825308,0.5348264277715565
inst-xl,pony,112,0.549376474553421,0.553758004718571,0.5203909673070441
inst-xl,psychology,101,0.6323529411764706,0.5975935828877006,0.6492869875222815
inst-xl,robotics,101,0.673355629877369,0.5903010033444817,0.5852842809364548
inst-xl,stackoverflow,117,0.5,0.4084604715672677,0.4195561719833564
inst-xl,sustainable_living,108,0.6544035674470458,0.5819397993311038,0.5626161278335191
inst-xl,theoremqa_questions,194,0.4783458156952133,0.45609464886573325,0.5302290242049278
inst-xl,theoremqa_theorems,76,0.6285714285714286,0.5177489177489177,0.5255411255411255
qwen,aops,111,0.489010989010989,0.46232339089481944,0.41444270015698587
qwen,biology,103,0.5414285714285714,0.6190476190476191,0.6195238095238096
qwen,earth_science,116,0.6400187003272556,0.5479195885928003,0.6007480130902291
qwen,economics,103,0.6080952380952381,0.4695238095238095,0.46428571428571425
qwen,leetcode,142,0.4965938454310547,0.5010570824524313,0.4928353300446324
qwen,pony,112,0.5392652510953825,0.4610717896865521,0.4657903606336367
qwen,psychology,101,0.7468354430379748,0.453970080552359,0.5627157652474108
qwen,robotics,101,0.6101532567049809,0.5809386973180076,0.5694444444444444
qwen,stackoverflow,117,0.5684624017957352,0.6105499438832773,0.5392817059483725
qwen,sustainable_living,108,0.5536221590909091,0.6377840909090908,0.6626420454545454
qwen,theoremqa_questions,194,0.47233859705661174,0.5525835213234503,0.543667418627135
qwen,theoremqa_theorems,76,0.5676784249384742,0.5110746513535686,0.5258408531583265
qwen2,aops,111,0.4772727272727273,0.6447811447811448,0.6321548821548821
qwen2,biology,103,0.4532163742690058,0.5019493177387915,0.5160818713450293
qwen2,earth_science,116,0.6086956521739131,0.7622282608695653,0.7576992753623188
qwen2,economics,103,0.5989278752436648,0.5087719298245613,0.5077972709551657
qwen2,leetcode,142,0.5301733596664473,0.5997366688610928,0.5957867017774852
qwen2,pony,112,0.5454545454545455,0.5360962566844919,0.48863636363636365
qwen2,psychology,101,0.5391527599486522,0.475609756097561,0.49807445442875486
qwen2,robotics,101,0.5018433179723503,0.4732718894009217,0.47603686635944703
qwen2,stackoverflow,117,0.3670588235294117,0.34117647058823525,0.31823529411764706
qwen2,sustainable_living,108,0.5931313131313132,0.6141414141414141,0.6997979797979798
qwen2,theoremqa_questions,194,0.46062949833494465,0.5128370394242131,0.4976904071328821
qwen2,theoremqa_theorems,76,0.6271186440677966,0.7347956131605184,0.6869391824526421
nomic,aops,111,0.47959183673469385,0.5643642072213501,0.6381475667189953
nomic,biology,103,0.5724191063174114,0.6313559322033898,0.6413713405238829
nomic,earth_science,116,0.5539811066126855,0.623144399460189,0.5819838056680162
nomic,economics,103,0.49731182795698925,0.6133512544802867,0.5936379928315412
nomic,leetcode,142,0.4971371670400797,0.5187951207368683,0.4899178491411501
nomic,pony,112,0.5625199872081867,0.5922609529900864,0.5986568596098497
nomic,psychology,101,0.7622309197651663,0.6154598825831702,0.7294520547945206
nomic,robotics,101,0.49755381604696675,0.5171232876712328,0.5640900195694716
nomic,stackoverflow,117,0.3252427184466019,0.45492371705963935,0.38210818307905686
nomic,sustainable_living,108,0.655680224403927,0.6921458625525947,0.670056100981767
nomic,theoremqa_questions,194,0.46546052631578944,0.5293859649122806,0.5747807017543859
nomic,theoremqa_theorems,76,0.45891043397968606,0.39704524469067404,0.3471837488457987
rader,aops,111,0.6144781144781145,0.4452861952861953,0.48148148148148145
rader,biology,103,0.4751461988304093,0.5462962962962963,0.5726120857699805
rader,earth_science,116,0.6520627966411099,0.6148229280759401,0.6600949251551661
rader,economics,103,0.5171990171990172,0.5106470106470107,0.4004914004914004
rader,leetcode,142,0.6078560456440641,0.5731841123546193,0.5494843098529734
rader,pony,112,0.5625823451910409,0.485836627140975,0.5009881422924901
rader,psychology,101,0.6162255466052935,0.5074798619102416,0.5891829689298043
rader,robotics,101,0.5791527313266444,0.5457079152731327,0.62876254180602
rader,stackoverflow,117,0.4532760472610096,0.4946294307196563,0.4371643394199785
rader,sustainable_living,108,0.579093799682035,0.5926073131955485,0.6104928457869635
rader,theoremqa_questions,194,0.4716898954703833,0.4673344947735192,0.4794207317073171
rader,theoremqa_theorems,76,0.6051844466600199,0.5672981056829512,0.5563310069790628
reasonir,aops,111,0.3787878787878788,0.43686868686868685,0.5277777777777778
reasonir,biology,103,0.5936379928315412,0.607078853046595,0.6460573476702509
reasonir,earth_science,116,0.6354166666666666,0.5535714285714286,0.5535714285714285
reasonir,economics,103,0.5183691756272402,0.5268817204301075,0.521505376344086
reasonir,leetcode,142,0.5064285714285715,0.4833333333333333,0.5009523809523809
reasonir,pony,112,0.51171875,0.44856770833333337,0.49479166666666663
reasonir,psychology,101,0.6389473684210526,0.63,0.66
reasonir,robotics,101,0.5975308641975309,0.5246913580246912,0.47283950617283954
reasonir,stackoverflow,117,0.5020618556701031,0.5402061855670104,0.5164948453608248
reasonir,sustainable_living,108,0.63695987654321,0.6026234567901234,0.6450617283950617
reasonir,theoremqa_questions,194,0.47877984084880637,0.5554818744473917,0.5582449160035367
reasonir,theoremqa_theorems,76,0.5291222313371616,0.5086136177194422,0.497949138638228
diver-retriever,aops,111,0.7750000000000001,0.5335526315789474,0.593421052631579
diver-retriever,biology,103,0.5934782608695651,0.728804347826087,0.7032608695652174
diver-retriever,earth_science,116,0.683111954459203,0.6804554079696395,0.6876660341555977
diver-retriever,economics,103,0.551150895140665,0.4982949701619778,0.49914748508098894
diver-retriever,leetcode,142,0.630019749835418,0.6497695852534563,0.6346280447662936
diver-retriever,pony,112,0.48451612903225805,0.48838709677419356,0.49161290322580653
diver-retriever,psychology,101,0.6026957637997433,0.5532734274711169,0.7291399229781772
diver-retriever,robotics,101,0.566168009205984,0.4706559263521289,0.4861910241657077
diver-retriever,stackoverflow,117,0.4337822671156005,0.43602693602693604,0.4287317620650954
diver-retriever,sustainable_living,108,0.5889705882352941,0.5036764705882353,0.5852941176470587
diver-retriever,theoremqa_questions,194,0.4849780701754386,0.5319078947368421,0.5486842105263158
diver-retriever,theoremqa_theorems,76,0.5766233766233766,0.6432900432900432,0.6805194805194804
